time; n; mu_cfp; std_cfp; rawData_cfp 
1.02; 20; 50; 50; {100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0}
2.04; 20; 50; 50; {100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0}
3.06; 20; 50; 50; {100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0}
4.08; 20; 50; 50; {100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0}
5.1; 20; 50; 50; {100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0}
6.12; 20; 50; 50; {100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0}
7.14; 20; 50; 50; {100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0}
8.16; 19; 52.6316; 49.9307; {100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0}
9.18; 19; 52.6316; 49.9307; {100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0}
10.2; 19; 52.6316; 49.9307; {100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0}
11.22; 19; 52.6316; 49.9307; {100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0}
12.24; 18; 50; 50; {100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0}
13.26; 18; 50; 50; {100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0}
14.28; 16; 56.25; 49.6078; {100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0}
15.3; 16; 56.25; 49.6078; {100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0}
16.32; 15; 60; 48.9898; {100,100,100,100,100,100,100,100,100,0,0,0,0,0,0}
17.34; 16; 62.5; 48.4123; {100,100,100,100,100,100,100,100,0,0,0,0,0,0,100,100}
18.36; 24; 58.3333; 49.3007; {100,100,100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,100,0,0,100,100}
19.38; 28; 57.1429; 49.4872; {100,100,100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,100,0,0,100,100,100,100,0,0}
20.4; 28; 57.1429; 49.4872; {100,100,100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,100,0,0,100,100,100,100,0,0}
21.42; 28; 57.1429; 49.4872; {100,100,100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,100,0,0,100,100,100,100,0,0}
