time; n; mu_gfp; std_gfp; rawData_gfp 
1.02; 20; 50; 50; {0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100}
2.04; 20; 50; 50; {0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100}
3.06; 20; 50; 50; {0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100}
4.08; 20; 50; 50; {0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100}
5.1; 20; 50; 50; {0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100}
6.12; 20; 50; 50; {0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100}
7.14; 20; 50; 50; {0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100}
8.16; 19; 47.3684; 49.9307; {0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100}
9.18; 19; 47.3684; 49.9307; {0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100}
10.2; 19; 47.3684; 49.9307; {0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100}
11.22; 19; 47.3684; 49.9307; {0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100}
12.24; 18; 50; 50; {0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100}
13.26; 18; 50; 50; {0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100}
14.28; 16; 43.75; 49.6078; {0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100}
15.3; 16; 43.75; 49.6078; {0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100}
16.32; 15; 40; 48.9898; {0,0,0,0,0,0,0,0,0,100,100,100,100,100,100}
17.34; 16; 37.5; 48.4123; {0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0}
18.36; 24; 41.6667; 49.3007; {0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,100,0,100,100,0,0}
19.38; 28; 42.8571; 49.4872; {0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,100,0,100,100,0,0,0,0,100,100}
20.4; 28; 42.8571; 49.4872; {0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,100,0,100,100,0,0,0,0,100,100}
21.42; 28; 42.8571; 49.4872; {0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,100,0,100,100,0,0,0,0,100,100}
22.44; 27; 40.7407; 49.1352; {0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,100,0,100,0,0,0,0,100,100}
23.46; 27; 40.7407; 49.1352; {0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,100,0,100,0,0,0,0,100,100}
24.48; 27; 40.7407; 49.1352; {0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,100,0,100,0,0,0,0,100,100}
25.5; 26; 42.3077; 49.4047; {0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,100,0,100,0,0,0,100,100}
26.52; 26; 42.3077; 49.4047; {0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,100,0,100,0,0,0,100,100}
27.54; 26; 42.3077; 49.4047; {0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,100,0,100,0,0,0,100,100}
28.56; 25; 44; 49.6387; {0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,100,0,100,0,0,0,100,100}
29.58; 24; 41.6667; 49.3007; {0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,0,100,0,0,0,100,100}
30.6; 24; 41.6667; 49.3007; {0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,0,100,0,0,0,100,100}
31.62; 24; 41.6667; 49.3007; {0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,0,100,0,0,0,100,100}
32.64; 24; 41.6667; 49.3007; {0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,0,100,0,0,0,100,100}
33.66; 24; 41.6667; 49.3007; {0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,0,100,0,0,0,100,100}
34.68; 28; 46.4286; 49.8723; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,0,100,0,0,0,100,100,100,0,0,100,100}
35.7; 32; 43.75; 49.6078; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,0,100,0,0,0,100,100,100,0,0,100,100,0,0,100,0}
36.72; 34; 38.2353; 48.5962; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,100,0,0,0,100,100,100,0,0,100,100,0,0,100,0,0,0,0}
37.74; 39; 41.0256; 49.188; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,100,0,0,0,100,100,100,0,0,100,100,0,0,100,0,0,0,0,0,100,100,0,100}
38.76; 44; 40.9091; 49.1666; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,100,0,0,0,100,100,100,0,0,100,100,0,0,100,0,0,0,0,0,100,100,0,100,0,0,100,0,100}
39.78; 44; 40.9091; 49.1666; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,100,0,0,0,100,100,100,0,0,100,100,0,0,100,0,0,0,0,0,100,100,0,100,0,0,100,0,100}
40.8; 45; 42.2222; 49.3914; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,100,0,0,0,100,100,100,0,0,100,100,0,0,100,0,0,0,0,0,100,100,0,100,0,0,100,0,100,100}
41.82; 45; 42.2222; 49.3914; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,100,0,0,0,100,100,100,0,0,100,100,0,0,100,0,0,0,0,0,100,100,0,100,0,0,100,0,100,100}
